text,category
"Stay focused on the mission. Every day counts.",goal
"New campaign dropping next week. Stay tuned.",campaign
"Q1 target: 10K followers. We're at 6K. Let's go.",plan
"Consistency beats talent when talent doesn't show up.",goal
"Campaign update: engagement up 40% this month.",campaign
"Building in public hits different when people watch.",goal
"Phase 2 rollout starts Monday. Content calendar is locked.",plan
"The grind doesn't stop. Neither do we.",goal
"Partnership campaign going live this Friday.",campaign
"Reminder: post daily, engage hourly, grow weekly.",plan
